Period	Day	Date	Plot	Band	Color Combo	Age	Sex	Seen	Location	Observer	Notes
2	5	19-Feb-17	MII	2550-39494	"A/W,R"	SY	M	0		LFD	
3	1	1-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		LFD	
3	2	2-Mar-17	MII	2550-39494	"A/W,R"	SY	M	1	E.4-5	KCO	
3	3	3-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0*	J.9-6.5	LFD	Trans
3	4	4-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		LFD	Trans
3	5	5-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		JPS	
4	1	15-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		JPS	
4	2	16-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		AJS	
4	3	17-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		JPS	
4	4	18-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		JPS	
4	5	19-Mar-17	MII	2550-39494	"A/W,R"	SY	M	0		AJS	
5	1	1-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0		JPS	
5	2	2-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0		AJS	
5	3	3-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0*	I-6	AJS	IN LII
5	4	4-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0		JPS	
5	5	5-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0		JPS	
6	1	15-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0*	H.3-6	LFD	IN LII
6	2	16-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0		LFD	IN LII
6	3	17-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0		AJS	
6	4	18-Apr-17	MII	2550-39494	"A/W,R"	SY	M	0		AJS	
6	5	19-Apr-17	MII	2550-39494	"A/W,R"	SY	M	1	I.3-6	LFD	
1	1	1-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
1	2	2-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
1	3	3-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
1	4	4-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
1	5	5-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
2	1	15-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
2	2	16-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
2	3	17-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
2	4	18-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
2	5	19-Feb-17	MII	2550-39496	"G/B,A"	SY	F				
3	1	1-Mar-17	MII	2550-39496	"G/B,A"	SY	F				
3	2	2-Mar-17	MII	2550-39496	"G/B,A"	SY	F				
3	3	3-Mar-17	MII	2550-39496	"G/B,A"	SY	F				
3	4	4-Mar-17	MII	2550-39496	"G/B,A"	SY	F				
3	5	5-Mar-17	MII	2550-39496	"G/B,A"	SY	F				
4	1	15-Mar-17	MII	2550-39496	"G/B,A"	SY	F	1	D.9-9.5	JPS	
4	2	16-Mar-17	MII	2550-39496	"G/B,A"	SY	F	0		AJS	
4	3	17-Mar-17	MII	2550-39496	"G/B,A"	SY	F	0		JPS	
4	4	18-Mar-17	MII	2550-39496	"G/B,A"	SY	F	0*	E-8.4	KCO	
4	5	19-Mar-17	MII	2550-39496	"G/B,A"	SY	F	0		AJS	
5	1	1-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	E.1-8.5	JPS	
5	2	2-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	E-8.5	AJS	
5	3	3-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	E-8.5	AJS	
5	4	4-Apr-17	MII	2550-39496	"G/B,A"	SY	F	0		JPS	
5	5	5-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	E-8	LFD	
6	1	15-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	D.5-8.5	LFD	
6	2	16-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	D.4-8.5	LFD	
6	3	17-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	D.4-8.6	LFD	
6	4	18-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	Caught in net	AJS	
6	5	19-Apr-17	MII	2550-39496	"G/B,A"	SY	F	1	E.1-9.1	LFD	
1	1	1-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
1	2	2-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
1	3	3-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
1	4	4-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
1	5	5-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
2	1	15-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
2	2	16-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
2	3	17-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
2	4	18-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
2	5	19-Feb-17	MI	2550-39499	"G/A,R"	SY	F				
3	1	1-Mar-17	MI	2550-39499	"G/A,R"	SY	F				
3	2	2-Mar-17	MI	2550-39499	"G/A,R"	SY	F				
3	3	3-Mar-17	MI	2550-39499	"G/A,R"	SY	F				
3	4	4-Mar-17	MI	2550-39499	"G/A,R"	SY	F				
3	5	5-Mar-17	MI	2550-39499	"G/A,R"	SY	F				
4	1	15-Mar-17	MI	2550-39499	"G/A,R"	SY	F	0		AJS	
4	2	16-Mar-17	MI	2550-39499	"G/A,R"	SY	F	0		AJS	
4	3	17-Mar-17	MI	2550-39499	"G/A,R"	SY	F	0		AJS	
4	4	18-Mar-17	MI	2550-39499	"G/A,R"	SY	F	0		LFD	
4	5	19-Mar-17	MI	2550-39499	"G/A,R"	SY	F	0		JPS	
5	1	1-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		LFD	
5	2	2-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		JPS	
5	3	3-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		JPS	
5	4	4-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		JPS	
5	5	5-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		KCO	
6	1	15-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0			
6	2	16-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		JPS	
6	3	17-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		JPS	
6	4	18-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		JPS	
6	5	19-Apr-17	MI	2550-39499	"G/A,R"	SY	F	0		KCO	
1	1	1-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
1	2	2-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
1	3	3-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
1	4	4-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
1	5	5-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
2	1	15-Feb-17	LI	2550-39500	"O/O,A"	AHY	F				
